Year,Type,Country,Fatal_injury,Species,Length,Weight
1967,Unprovoked,BAHAMAS,N,SANDBAR SHARK,165,24
1967,Provoked,SOUTH AFRICA,N,TIGER SHARK,210,47
1967,Unprovoked,SOUTH AFRICA,N,WHITE SHARK,300,260
1967,Provoked,ITALY,N,WHITE SHARK,450,929
1968,Unprovoked,USA,N,BULL SHARK,300,168
1968,Unprovoked,AUSTRALIA,N,COPPER SHARK,180,25
1968,Unprovoked,AUSTRALIA,N,COPPER SHARK,300,125
1968,Unprovoked,SOUTH AFRICA,N,HAMMERHEAD SHARK,165,20
1968,Unprovoked,USA,N,WHITE SHARK,400,650
1968,Unprovoked,NEW ZEALAND,Y,WHITE SHARK,430,797
1969,Provoked,USA,N,LEMON SHARK,275,175
1969,Unprovoked,USA,N,WHITE SHARK,465,1037
1969,Unprovoked,USA,N,WHITE SHARK,500,1300
1970,Unprovoked,ENGLAND,N,BLUE SHARK,245,141
1971,Unprovoked,SOUTH AFRICA,N,WHITE SHARK,300,260
1971,Unprovoked,SOUTH AFRICA,N,WHITE SHARK,300,260
1971,Unprovoked,NEW ZEALAND,N,WHITE SHARK,460,1000
1971,Unprovoked,USA,N,WHITE SHARK,550,1760
1971,Unprovoked,USA,N,WHITE SHARK,575,1983
1972,Unprovoked,AUSTRALIA,N,COPPER SHARK,305,131
1972,Unprovoked,FRENCH POLYNESIA,N,GREY REEF SHARK,150,17
1972,Unprovoked,MARSHALL ISLANDS,N,GREY REEF SHARK,180,29
1972,Unprovoked,MOZAMBIQUE,N,WHITE SHARK,250,152
1972,Unprovoked,SOUTH AFRICA,N,WHITE SHARK,300,260
1972,Unprovoked,AUSTRALIA,N,WHITE SHARK,305,273
1972,Unprovoked,USA,N,WHITE SHARK,470,1056
1972,Unprovoked,USA,N,WHITE SHARK,600,2287
1973,Unprovoked,USA,N,BLACKTIP SHARK,165,23
1973,Unprovoked,SOUTH AFRICA,N,BLACKTIP SHARK,200,42
1973,Unprovoked,BAHAMAS,N,BULL SHARK,230,77
1974,Unprovoked,AUSTRALIA,N,COPPER SHARK,120,7
1974,Unprovoked,ISRAEL,N,SHORTFIN MAKO SHARK,230,47
1974,Unprovoked,USA,N,WHITE SHARK,450,929
1974,Unprovoked,USA,N,WHITE SHARK,450,929
1974,Unprovoked,USA,N,WHITE SHARK,500,1300
1974,Unprovoked,USA,N,WHITE SHARK,500,1300
1974,Boating,SOUTH AFRICA,N,WHITE SHARK,500,1300
1974,Unprovoked,USA,N,WHITE SHARK,550,1760
1974,Unprovoked,USA,N,WHITE SHARK,550,1760
1974,Unprovoked,USA,N,WHITE SHARK,550,1760
1974,Unprovoked,USA,N,WHITE SHARK,575,1983
1975,Unprovoked,BERMUDA,N,BLUE SHARK,245,141
1975,Provoked,AUSTRALIA,N,COPPER SHARK,183,27
1975,Provoked,AUSTRALIA,N,COPPER SHARK,250,71
1975,Unprovoked,SOUTH AFRICA,N,WHITE SHARK,240,135
1975,Unprovoked,AUSTRALIA,Y,WHITE SHARK,300,260
1975,Unprovoked,USA,N,WHITE SHARK,550,1760
1975,Unprovoked,USA,N,WHITE SHARK,580,2042
1976,Provoked,ITALY,N,BLUE SHARK,200,71
1976,Unprovoked,USA,N,BULL SHARK,210,59
