Year,Type,Country,Fatal_injury,Species,Length,Weight
2017,Unprovoked,USA,N,BULL SHARK,135,16
2017,Unprovoked,AUSTRALIA,N,BULL SHARK,150,22
2017,Unprovoked,USA,N,BULL SHARK,185,40
2017,Unprovoked,REUNION,N,BULL SHARK,200,51
2017,Unprovoked,AUSTRALIA,N,BULL SHARK,400,389
2017,Unprovoked,USA,N,SPINNER SHARK,140,14
2017,Unprovoked,USA,N,TIGER SHARK,275,112
2017,Unprovoked,USA,N,TIGER SHARK,365,325
2017,Unprovoked,USA,N,WHITE SHARK,185,62
2017,Unprovoked,SOUTH AFRICA,N,WHITE SHARK,250,152
2017,Unprovoked,USA,N,WHITE SHARK,275,200
2017,Unprovoked,USA,N,WHITE SHARK,275,200
2017,Unprovoked,AUSTRALIA,N,WHITE SHARK,300,260
2017,Boating,USA,N,WHITE SHARK,305,273
2017,Unprovoked,AUSTRALIA,N,WHITE SHARK,325,339
2017,Unprovoked,AUSTRALIA,N,WHITE SHARK,350,424
2017,Boating,AUSTRALIA,N,WHITE SHARK,350,424
2017,Boating,USA,N,WHITE SHARK,365,489
2017,Unprovoked,AUSTRALIA,N,WHITE SHARK,400,650
2017,Boating,USA,N,WHITE SHARK,425,766
2017,Unprovoked,AUSTRALIA,N,WHITE SHARK,450,929
2017,Unprovoked,USA,N,WHITE SHARK,460,1000
2018,Unprovoked,USA,N,BULL SHARK,185,40
2018,Unprovoked,AUSTRALIA,N,BULL SHARK,200,51
2018,Unprovoked,NEW CALEDONIA,N,BULL SHARK,300,168
2018,Unprovoked,AUSTRALIA,N,GREY REEF SHARK,200,40
2018,Unprovoked,USA,N,LEMON SHARK,90,6
2018,Unprovoked,USA,N,TIGER SHARK,365,325
2018,Unprovoked,SOUTH AFRICA,N,WHITE SHARK,250,152
2018,Unprovoked,AUSTRALIA,N,WHITE SHARK,295,248
2018,Unprovoked,AUSTRALIA,N,WHITE SHARK,350,424
2018,Unprovoked,AUSTRALIA,N,WHITE SHARK,350,424
